
LOG start: 2018-03-08 08:40:02

Протокол :   Локальный IP             :Порт	     Внешний IP	      :Порт	:SVC/TYPE	            Данные

Logging started [2018-03-08 08:40:02]
  UDP:    192.168.0.57	:52074	 185.158.208.15	:443	: HTTPS   	....WC....iV.Ua!Fn..#6.nr.............(..k......_]B.....`....E.[$.Ey........~...'..X*...].ki.:K.T....?2......Ixi..........@.[..04..C.B.o.k.)J.......#Q../...!..8I.=..#L.(P...].k.U...84d...X..kZ.I..>#}Rb.. .Z/....2..j.z...1....?...H8.....q...8).XZ.R...HD{...07.n.h.L..b...........h.......^l.h...a.B..{OR.M..w{.. .!........E..."I..bf..M.A.2.s..J.L.......q...wp..@5"B=6w..bfiV......4.('DV......f..H.zD.<...R...).\..*..Bt.|O{..h.....r....b..... m..O.!C.Y....>.....)7.K@..D.L!!XY..nNp."Z\...b...7]H.ECt...t..~.~...>..x.............v.......j...... ....u...|w..&...2..........j..oM;s..jx.&y.P..{N.A....U.i..}...oB..x].2....M2
  UDP:  185.158.208.15	:443	   192.168.0.57	:52074	: HTTPS   	.&..%.[....Q.v....Z=.....Vjx...).8E..+._...6.........w.N.@..z6#.tI.....L..|x=.s..`..s....+....-hJ...t_..+~O.........E.@.lh....;....'...........\}.i....8..._..|...j.....V.@....F<...$..C..fk&#.)....q..L........|..\..ku..lC_8w..t....X.^~t.....>..b.6"t.:....h....).#.].0m....qw.d..c..7.Hw.c.2N.....S..S.E.rt.r....S.g.......y..2h^...K ..X.(s..n....=.Qy(.X..Aj.3.6.e}S.....F..NR.`.?...D..2{:Q.:...5.#[yR.P....K.-......z..X.30...~...ri..*S...U.^.....j.O*..e.|.@...&.~........~......i,..bL...MOQ..G.V.*R..]G..:.$...Y=.ah.S.....W....G......'.8.fx.q....?N..q{.H..Ly.._{...p.H.q.sZ<...j>.=...2..x.....F....B.id.Tt.*K...R)'}.'...........KvG.n..)P..r.0H.K.P.!.....8G...r.*a).....g..*.=3.wu.R.s....4. <S.w..S....?....[..^..)..H*...O...pH.<.M..E,.fl...L....@=.N8I...My..3...$T+(."....?V.%...rH`........<qR...X..&RC..,...-.&|.....R ...&..5).'.d?.4V@j$.~..J....[...U..EW:/D..67.C.....%.O*...L...C....<.mk...|........gz.)..G.n.MxG.0v.\.\......b.3`i..1...a{...<!SNIPPED!>
  UDP:  185.158.208.15	:443	   192.168.0.57	:52074	: HTTPS   	.&.0......@.7P.'...1.QT.:iZ.,9....u.......=..qb......X.!...<...l.>hP..l.".g.J..F<|......z.AK6..A..I.ud~.....|.....\]....aX.=......4._>...F.`.... ..<.:...?............&j..v...}.PU.I..."...[..b......mh...%uI...S.....I..r.$D.T.h./..y..O..Nz.........c.P..43.G=..f.mF....OL'..'...........@..a..}?).<.A._...4D|vj.AnV.z....EIp%]X_.i.j..&..R..).0e.v^s....}...b....C..L`..^y.u.V.mV.P.y.3,Q.(.........B..W&...!..D<+..a.Q)._.Nj...UY..u..BS..{...I.....J.....hw...AGM...}.)9......q.O.......@g%n.*s...R.[.....l.....Ap.RI...F.zqi.......9..5..x<;?.ZO].=.....YDE.&S....>..EI.....6.k.R~r'....(....kV.AP...3..j(E.........qa.Ql4fC....o3-o.A.\.....[.....a`*A...0..........."dQ... C." g...X.5...9vS..u.%..G....8b...%F.......M...%...{|....J..Q..O....K.^...- ~.C.#.&..JK........x9zr.S.....>...Jg........>.'.....OL.?0...S#.V}W/..}.....b:ZY#........u.@....+m...Y......FLKk...U@....`......Of`......E......G...._....D...@.?.xM'.*...l.t.!.Z.1i.:~..b..|M..,.q...o.Lf...s.....I)<!SNIPPED!>
  UDP:  185.158.208.15	:443	   192.168.0.57	:52074	: HTTPS   	.&..$...M.....l..1s.;[..r?.~aH...,-.5P.C.....^2,=../.....30..d.A./..l.B..e.(1.....@..En.....5..=.1l..<..+s.......X.nO..l......S...uA..u..6o.......&.iq...5U..5.C.M..""...I.i...!9s...gE).F.......*U;2.....W...2l8....W.nqj.......L...m.....$.c..r..1W:s..G..q($/..*......H..c../../.<....*..1....oF...*U...=..kf.qK3.G6s..{..].E.....}.-...+*.2?2H+n..+.>0.#...t..Hn..d+.#...rrl............3..Z.B.Q..wC.....JO..7..........W....;...B!%.?.WMG.`I$.2X.J...H..E....0.5....|w.. ...C..h.f....!.......N..I.....=S<Zwl....+..E.U..1.e..z.G..uJ8..<.N.m.7d......P#....s3..Ak>...W..................OE./...<U..f.].IP..a.v...X .0a...c..w-..:.....9..P.@.u{7.Y..x..f.}'.KC..'I.i.X..f..N..2.AD.v.Y..p..3/.p.\.....3.....$..-a..]/.*.<r^..J.z.-4......v...D...}..c....3H.-.O.L,.l... ......r.....s\Ya.....T..V..O.*.p....+...VSE..=.aG......H.....x.b...k.........#\k(...?5]...EE....q..........I....ovC.......Z....,...v....T..-2f.N\@t......0.9w..\R..v./4X...~.].....;=..........cl.d..<!SNIPPED!>
  UDP:    192.168.0.57	:52074	 185.158.208.15	:443	: HTTPS   	....WC....3..K..u..~.\..\y../.........fc10..
  UDP:    192.168.0.57	:52074	 185.158.208.15	:443	: HTTPS   	....WC......M...Q.P.u...$.....-.....q#.
  UDP:  185.158.208.15	:443	   192.168.0.57	:52074	: HTTPS   	.&.u......m@...A..).h4qU....(I....[.u...UN.5i...;.t.)..}.U.c...{..a...*U....>....0.........F.\....] .b...VC...*j...}...Jw.t...T.kluL..O..G.].JJ}...C.7.a.........M.r..L..........C...f.....&%.....NA...kkE.o......Y..(N$.)o..\.~f.$......6 @F<.e.e......\f..)S.F..__.....]...L..yp..c.|Y&d.D.DF....cU.;A."c......k$.q/\.W.k..].G.(.z#.(.3m.7@.a`.:'..].q..gS....$..2....J..2........I...5r.....4.Tl.....X!.E3..dQ.Dr.,..|.v2....l...>....p.l...d/.r......^c....v".y.Y..l.e..a3..}..:.......*.....b)%..Z\......1.....,....N..j...l.F..x>ZQ..j"Z?..j^...7....T.6...........S....J.I..?.....GF...h.........m.....w}.7....R+I&..fV4.G..M..#.q]......|.+...'...P...DP..8/I,....v.d...V$.'..%.Y!+..u.'y)q...[.G...... Z...._.>..>.K..A.<L..W~..*..pQ....".V._5..M6..............s..~O~.mv..^wo....J;.=..=O..k....._.p........V.f.....-d.....n.~.'...c`..1....*`.....6.p.K...t......m........R,.;..W\U".,...Kt..h.d..w....eU..Ag.(HS.e.:.p?.H..y_j...e..........@7...?{Vj...=..:0.a........<!SNIPPED!>
  UDP:  185.158.208.15	:443	   192.168.0.57	:52074	: HTTPS   	.&....8.S..H:..m..F.x7.I!!...c...94.....<.GI+..F1.Z...X....'......dC..QY.9.:.^t.....7.Z...=D=L.&.........w.r...+.&.).>.r........a..#... .{...H......OL+.q.w%...uH(.......~.....9....j..Z12.{l.6$...d...>|A.....b%m`@.g0`b...\.#......Qt.e...5"........A..........+...........N....z.....w...']...a...;9b2.....M.FX%.\.z....w.........TM&_.2...q.#Y...:....n..tv.....].]?+..k.,&%.|f.i+...Z8.....{?z..t.5)L......}.mjFp.>..U.{..B3....X..r._........+....P......hgr.!.......gY.PC..@._.e..i..........Z..d.C....f...K|.].....T?fXd.].r:.H...{=.....ga.r.4c..,c.W..S........H...B....M.....k.:<R.<..6....8...eK......\=.A.j.su.t..l.l...^.7........&.T.B..NI.X#.#............[q....GG3.....:uo...Q......1.....t/3h.}2yM/....YeL..r..=[.(lZx....{....k.#...z5.........+....~..........E..~(..*1......Y.. ....%..T'!...U.%..`.(VT.gb-SJZ...~.M...T{r.._wYV..VRQ,&..4.*...7.h.J..EQ.....5.`....Sz.8.4C.6......'....Ux..7..!z.....'g....@.8.......h....*..9..%0b7.I..N.GK.R........q.@T<!SNIPPED!>
  UDP:  185.158.208.15	:443	   192.168.0.57	:52074	: HTTPS   	.&.$f.....O......7..a.B$7.%..1....r.Bq..l;.,q.....a..I...?H..r..S.......I...|.....;+...5.8.s.Ff....>.........II. e.0?c..A.9...a./.M.4.hp0.).....Rt(QY.....6b..t..6.L.)S...G (..+)........_E.z..n.z...T')t.-............X..Gi..m.f6..#R..@..>"a...=.8..........(.h..1.G......?y..~'.g.E.....J.Y.M.4...a!.p.pC....M.`.5......8...D.!j........wb..........T..E6....dC.L.ikn..b.}..S1%..Qd...B....B..ik..%.-S.2.0..4....L.....]..\..4X.7..KV.v...W.k.......&.z.B..v.*.'....p.[.......R.....v|_....$C.lL.n.'...$..Ix....'.b(.-F.*31~...*h..G..#.e/......D.(A]..!...R....O....C.s....y.%b.;l..i.,.-.o.Z..^.eq..7$82iG...."..pr....T.A.v.\..7...$.`...F............<...+..u<.E<-...wl...0.%w..}........^..0u.~z...{..S.....O.....;...Z..S...c.H5.......Q...f7..8.j.X.q.......e.."...2.......7B.g.......@zl..bf..f....[Hu..b.A1.m..DQG.._...k..4..Y....*..E......o..b@O*v.....:...4....p)..gd.....@.*.?.....1\*.O~...R..!P=..@....?...*....&.....Cn.Z. .iY.+..T...G%R.&.....B.Al....F.N.J.<!SNIPPED!>
  UDP:  185.158.208.15	:443	   192.168.0.57	:52074	: HTTPS   	.&..t.{......5..A.z..""...3.A E1........#.....H.....{....a?0A......q...j..$...nD.{.K0l.@.....w....\..tf.%.......`....RW..........`f..7.........T.N$......yN......;.Nr....x...a.3.\m......$..sh.3...Bi=..W......j0.Q...~2#y....}17.....N%.....#.......,...j5e....u...P.....B.Ra&....n....k/......O..I...r......P]/....nu{`T.Fi......'..M&YUo....,.*..(....U.Y..e.n.ym.(..>P.q[.(.o.2.q....-.w........o.8..h.A...{.'<....T.5-..i.g...&vsj6.?..[..1H.$E...nc..........x4..&b{2..5.[.g.A......k.r....s.6......vE.J....(...R.....p....W.`....4_....+.u9.R.>V...I`x.aB|...,N3N.(@Tz.....'.%.N."Z... .........$R....!|.9.B......3.q...;Y.\.....^.FS..y....8mk}l.2..j...@.S.........-A....k.k...k5vE.R6.....e...]..Ds.a.$......E.;m.`._..bn.u...}.p.0 ..I0.<..E..0%dGPj!...w..k..`c.,.J}.|.....s...j...XRT......z..{..."..........k.UX.yr....V>B..'...G0...0...R...i.8..AV...m~. .s...+...z.....,...(..6$....b......B..*........C.p$.&[.8....~..EiE..\L.j.A.....`4....[.....J'.._...4..~@.<!SNIPPED!>
  UDP:  185.158.208.15	:443	   192.168.0.57	:52074	: HTTPS   	.& 0.....J..#fJ8...\{.Z.yLnJ.2..Rhp.h/^j......Nh\d.=...I.qI....X......UF`.....}.dX^..<..F...I.........".5.....1O.......6.......:..h.d&....k....S{.V...S.P..Pk..........X...uqp.Z.#..@-.HK<...Isp...Br."....c...hH....S.'.....p...6ps.W....^.3.n.NUT{>....E......vxV....D..S.........Kiw..d'...[t.?7.f@...{u&E.........E.K....j.=Vy.u4....2..&..|fh.!.0.r...........pv;.#..t...g.......}.{3.Y5mE..h`.:y?...rN./.....V:[.6K).c.....:..}......o...`.\.......}1.).mz.....]9.U.... c.f~...lZFI{.q.....U.!..7x..,...>...3.....u#....e9.N..rK...H..H.$.....?..>..I..r{.....s.....q.!;.........IP.....I...suo.x[L....{VQ.W/.'@[..]...*l{N..................$.2.Gg...'`xL.]......o$u.........NPf;S......9y...7..o....w%...."a.h......q...?..9T.?j...A.$..\.["'R.........T.l..\^.+....m...$$..X.^jT..4^...v..}..5.X......9...y..Gx..!....8..m3...yi...D...w....[.....A=x1....)....h..D.....I........ ....)zq...}.C}...S.b0.<:.u.e...%...#p....U..T..........fw{..T.m*......-....oq3rN..+.w.<!SNIPPED!>
